icao24,callsign,first_seen_unix,last_seen_unix,departure_airport_icao,arrival_airport_icao,observed_departure_time_utc,observed_departure_hour_utc
896116,UAE2X,1772926563,1772945014,LEBL,,2026-03-07 23:36:03+00:00,2026-03-07 23:00:00+00:00
4ba890,THY6402,1772924116,1772934225,LEBL,LTFM,2026-03-07 22:55:16+00:00,2026-03-07 22:00:00+00:00
3e232e,PAV621,1772922110,1772925270,LEBL,LEMD,2026-03-07 22:21:50+00:00,2026-03-07 22:00:00+00:00
4ca226,RYR5328,1772920074,1772927717,LEBL,EGPH,2026-03-07 21:47:54+00:00,2026-03-07 21:00:00+00:00
4ca763,RYR5CF,1772918964,1772923363,LEBL,LEMG,2026-03-07 21:29:24+00:00,2026-03-07 21:00:00+00:00
348203,VLG57U,1772918785,1772923150,LEBL,LEZL,2026-03-07 21:26:25+00:00,2026-03-07 21:00:00+00:00
343194,VLG35C,1772918388,1772923304,LEBL,LPPR,2026-03-07 21:19:48+00:00,2026-03-07 21:00:00+00:00
4caa5c,RYR77SW,1772917814,1772922283,LEBL,LIRF,2026-03-07 21:10:14+00:00,2026-03-07 21:00:00+00:00
345108,VLG89PG,1772917675,1772919295,LEBL,LEPA,2026-03-07 21:07:55+00:00,2026-03-07 21:00:00+00:00
345215,AEA27YK,1772917553,1772919161,LEBL,LEPA,2026-03-07 21:05:53+00:00,2026-03-07 21:00:00+00:00
4d20bd,WMT422,1772917260,1772921810,LEBL,LIRF,2026-03-07 21:01:00+00:00,2026-03-07 21:00:00+00:00
4ca84a,RYR8FB,1772916886,1772923203,LEBL,EGBB,2026-03-07 20:54:46+00:00,2026-03-07 20:00:00+00:00
3424d2,VLG2PA,1772916739,1772918729,LEBL,,2026-03-07 20:52:19+00:00,2026-03-07 20:00:00+00:00
48c233,RYR35ZF,1772916356,1772923322,LEBL,LKPR,2026-03-07 20:45:56+00:00,2026-03-07 20:00:00+00:00
44ce6e,BEL7JN,1772916254,1772921856,LEBL,EBBR,2026-03-07 20:44:14+00:00,2026-03-07 20:00:00+00:00
471db7,WMT7050,1772916183,1772924703,LEBL,,2026-03-07 20:43:03+00:00,2026-03-07 20:00:00+00:00
345107,VLG7MQ,1772915974,1772918827,LEBL,LEAL,2026-03-07 20:39:34+00:00,2026-03-07 20:00:00+00:00
4952ca,TAP39PT,1772915717,1772920991,LEBL,LPPT,2026-03-07 20:35:17+00:00,2026-03-07 20:00:00+00:00
4ca813,RYR7NQ,1772915620,1772919914,LEBL,LIPE,2026-03-07 20:33:40+00:00,2026-03-07 20:00:00+00:00
471f78,WMT661,1772915485,1772924709,LEBL,LRBS,2026-03-07 20:31:25+00:00,2026-03-07 20:00:00+00:00
3445d4,IBE04FB,1772915366,1772918222,LEBL,LEMD,2026-03-07 20:29:26+00:00,2026-03-07 20:00:00+00:00
4ca570,RYR1MW,1772915019,1772916715,LEBL,LEIB,2026-03-07 20:23:39+00:00,2026-03-07 20:00:00+00:00
39de42,TVF40EA,1772914792,1772919540,LEBL,LFPO,2026-03-07 20:19:52+00:00,2026-03-07 20:00:00+00:00
4d227c,RYR8LC,1772914623,1772919869,LEBL,LPPT,2026-03-07 20:17:03+00:00,2026-03-07 20:00:00+00:00
345643,VLG1670,1772914542,1772918905,LEBL,,2026-03-07 20:15:42+00:00,2026-03-07 20:00:00+00:00
4d2535,WZZ65,1772914473,1772922222,LEBL,LHBP,2026-03-07 20:14:33+00:00,2026-03-07 20:00:00+00:00
3451d5,VLG9LM,1772914368,1772916569,LEBL,,2026-03-07 20:12:48+00:00,2026-03-07 20:00:00+00:00
4d225c,RYR4EK,1772913780,1772919248,LEBL,LIPQ,2026-03-07 20:03:00+00:00,2026-03-07 20:00:00+00:00
4cafc4,RYR91AY,1772913483,1772918241,LEBL,LPPR,2026-03-07 19:58:03+00:00,2026-03-07 19:00:00+00:00
346355,VLG1PP,1772913394,1772917758,LEBL,LECO,2026-03-07 19:56:34+00:00,2026-03-07 19:00:00+00:00
34768e,VLG3006,1772913327,1772922614,LEBL,,2026-03-07 19:55:27+00:00,2026-03-07 19:00:00+00:00
400980,BAW491U,1772913158,1772919004,LEBL,EGLL,2026-03-07 19:52:38+00:00,2026-03-07 19:00:00+00:00
345043,VLG6MU,1772912790,1772914400,LEBL,,2026-03-07 19:46:30+00:00,2026-03-07 19:00:00+00:00
347348,AEA7708,1772912311,1772915158,LEBL,LEMD,2026-03-07 19:38:31+00:00,2026-03-07 19:00:00+00:00
4ca251,RYR9581,1772912171,1772916292,LEBL,LEZL,2026-03-07 19:36:11+00:00,2026-03-07 19:00:00+00:00
3472c4,VLG53UG,1772912013,1772916166,LEBL,,2026-03-07 19:33:33+00:00,2026-03-07 19:00:00+00:00
34768f,VLG8008,1772911921,1772916455,LEBL,LFPO,2026-03-07 19:32:01+00:00,2026-03-07 19:00:00+00:00
4d223f,RYR71QT,1772911830,1772916918,LEBL,LIPZ,2026-03-07 19:30:30+00:00,2026-03-07 19:00:00+00:00
398604,AFR1049,1772911680,1772916609,LEBL,LFPG,2026-03-07 19:28:00+00:00,2026-03-07 19:00:00+00:00
4b1a25,EJU17FL,1772911531,1772915651,LEBL,LSGG,2026-03-07 19:25:31+00:00,2026-03-07 19:00:00+00:00
348508,VLG30TC,1772911285,1772914734,LEBL,LEGA,2026-03-07 19:21:25+00:00,2026-03-07 19:00:00+00:00
4d22ae,RYR60RW,1772911144,1772918089,LEBL,LOWW,2026-03-07 19:19:04+00:00,2026-03-07 19:00:00+00:00
4d220c,RYR6592,1772910935,1772918032,LEBL,EGSS,2026-03-07 19:15:35+00:00,2026-03-07 19:00:00+00:00
348206,VLG4LP,1772910829,1772915804,LEBL,LPPT,2026-03-07 19:13:49+00:00,2026-03-07 19:00:00+00:00
4d2527,WZZ118,1772910734,1772919283,LEBL,LBSF,2026-03-07 19:12:14+00:00,2026-03-07 19:00:00+00:00
471f6f,WMT594,1772910640,1772916646,LEBL,,2026-03-07 19:10:40+00:00,2026-03-07 19:00:00+00:00
345645,VLG53FH,1772910559,1772920318,LEBL,,2026-03-07 19:09:19+00:00,2026-03-07 19:00:00+00:00
343386,VLG29HW,1772910440,1772914228,LEBL,LFRS,2026-03-07 19:07:20+00:00,2026-03-07 19:00:00+00:00
342396,VLG17FF,1772910331,1772915237,LEBL,LIRN,2026-03-07 19:05:31+00:00,2026-03-07 19:00:00+00:00
4b1815,SWR9VE,1772909975,1772915186,LEBL,LSZH,2026-03-07 18:59:35+00:00,2026-03-07 18:00:00+00:00
346692,VLG7MZ,1772909893,1772911435,LEBL,,2026-03-07 18:58:13+00:00,2026-03-07 18:00:00+00:00
4cae55,RYR90VA,1772909471,1772917064,LEBL,EDDB,2026-03-07 18:51:11+00:00,2026-03-07 18:00:00+00:00
39de46,TVF4757,1772909371,1772914032,LEBL,LFPO,2026-03-07 18:49:31+00:00,2026-03-07 18:00:00+00:00
345207,VLG8UN,1772909040,1772913536,LEBL,LIMC,2026-03-07 18:44:00+00:00,2026-03-07 18:00:00+00:00
345204,VLG80ZD,1772908795,1772914064,LEBL,LIPZ,2026-03-07 18:39:55+00:00,2026-03-07 18:00:00+00:00
0201c0,RAM961U,1772908646,1772914012,LEBL,,2026-03-07 18:37:26+00:00,2026-03-07 18:00:00+00:00
4d2209,RYR7217,1772908565,1772915483,LEBL,EGCC,2026-03-07 18:36:05+00:00,2026-03-07 18:00:00+00:00
407d75,BAW487E,1772908470,1772914131,LEBL,EGLL,2026-03-07 18:34:30+00:00,2026-03-07 18:00:00+00:00
34535a,VLG6EP,1772908350,1772912847,LEBL,LFPO,2026-03-07 18:32:30+00:00,2026-03-07 18:00:00+00:00
4cadd9,SAS51B,1772908239,1772917014,LEBL,EKCH,2026-03-07 18:30:39+00:00,2026-03-07 18:00:00+00:00
4d2247,RYR43JR,1772908172,1772912271,LEBL,GMMW,2026-03-07 18:29:32+00:00,2026-03-07 18:00:00+00:00
34744c,VLG7SY,1772908050,1772913113,LEBL,LFPG,2026-03-07 18:27:30+00:00,2026-03-07 18:00:00+00:00
3e1a54,PAV641,1772907697,1772910688,LEBL,LEMD,2026-03-07 18:21:37+00:00,2026-03-07 18:00:00+00:00
4bb1a2,THY31K,1772907603,1772939787,LEBL,KATL,2026-03-07 18:20:03+00:00,2026-03-07 18:00:00+00:00
4d2453,WZZ96WV,1772907512,1772917281,LEBL,EPWA,2026-03-07 18:18:32+00:00,2026-03-07 18:00:00+00:00
39bb22,AFR1549,1772907422,1772912278,LEBL,LFPG,2026-03-07 18:17:02+00:00,2026-03-07 18:00:00+00:00
3444d1,VLG5SV,1772907317,1772912158,LEBL,LSZH,2026-03-07 18:15:17+00:00,2026-03-07 18:00:00+00:00
0a0028,DAH2015,1772907220,1772909248,LEBL,,2026-03-07 18:13:40+00:00,2026-03-07 18:00:00+00:00
4d24ea,RYR97MM,1772907130,1772913285,LEBL,EGBB,2026-03-07 18:12:10+00:00,2026-03-07 18:00:00+00:00
471dbf,WZZ42ZQ,1772907036,1772915509,LEBL,EPKT,2026-03-07 18:10:36+00:00,2026-03-07 18:00:00+00:00
346690,VLG17JZ,1772906773,1772912609,LEBL,EBBR,2026-03-07 18:06:13+00:00,2026-03-07 18:00:00+00:00
342592,VLG3CL,1772906385,1772912006,LEBL,EGKK,2026-03-07 17:59:45+00:00,2026-03-07 17:00:00+00:00
345215,AEA37UJ,1772906233,1772907686,LEBL,LEPA,2026-03-07 17:57:13+00:00,2026-03-07 17:00:00+00:00
46b828,AEE713,1772906135,1772914511,LEBL,LGAV,2026-03-07 17:55:35+00:00,2026-03-07 17:00:00+00:00
345101,VLG17ET,1772906048,1772910245,LEBL,LIQL,2026-03-07 17:54:08+00:00,2026-03-07 17:00:00+00:00
3c6743,DLH55M,1772905960,1772911850,LEBL,EDDF,2026-03-07 17:52:40+00:00,2026-03-07 17:00:00+00:00
3475d3,LVL27DQ,1772905857,1772935428,LEBL,KJFK,2026-03-07 17:50:57+00:00,2026-03-07 17:00:00+00:00
4bb1ed,THY39J,1772905740,1772915788,LEBL,LTFM,2026-03-07 17:49:00+00:00,2026-03-07 17:00:00+00:00
344645,VLG89ZK,1772905657,1772911888,LEBL,EGLL,2026-03-07 17:47:37+00:00,2026-03-07 17:00:00+00:00
4cac56,RYR85FM,1772905362,1772913536,LEBL,EPKK,2026-03-07 17:42:42+00:00,2026-03-07 17:00:00+00:00
495037,TAP37CN,1772905246,1772910890,LEBL,LPPT,2026-03-07 17:40:46+00:00,2026-03-07 17:00:00+00:00
345359,VLG1TR,1772905203,1772911738,LEBL,EHAM,2026-03-07 17:40:03+00:00,2026-03-07 17:00:00+00:00
346147,IBE04FE,1772905113,1772907863,LEBL,LEMD,2026-03-07 17:38:33+00:00,2026-03-07 17:00:00+00:00
3480cc,LVL25DU,1772905010,1772932812,LEBL,KBOS,2026-03-07 17:36:50+00:00,2026-03-07 17:00:00+00:00
440484,EJU95PF,1772904908,1772911207,LEBL,EGGD,2026-03-07 17:35:08+00:00,2026-03-07 17:00:00+00:00
4d24ca,RYR27CN,1772904821,1772909985,LEBL,LIPZ,2026-03-07 17:33:41+00:00,2026-03-07 17:00:00+00:00
440625,EJU67RK,1772904691,1772909060,LEBL,LIMC,2026-03-07 17:31:31+00:00,2026-03-07 17:00:00+00:00
4ca8e4,RYR40DM,1772904618,1772909128,LEBL,LIRF,2026-03-07 17:30:18+00:00,2026-03-07 17:00:00+00:00
4867c4,KLM16K,1772904515,1772910612,LEBL,EHAM,2026-03-07 17:28:35+00:00,2026-03-07 17:00:00+00:00
3444ca,VLG4DM,1772904307,1772905915,LEBL,,2026-03-07 17:25:07+00:00,2026-03-07 17:00:00+00:00
3c66a6,DLH96J,1772904259,1772910397,LEBL,EDDM,2026-03-07 17:24:19+00:00,2026-03-07 17:00:00+00:00
347658,VLG1NU,1772904179,1772908910,LEBL,LIRF,2026-03-07 17:22:59+00:00,2026-03-07 17:00:00+00:00
4ca226,RYR6RU,1772904010,1772908429,LEBL,LIME,2026-03-07 17:20:10+00:00,2026-03-07 17:00:00+00:00
342398,VLG9VT,1772903822,1772909682,LEBL,EDDM,2026-03-07 17:17:02+00:00,2026-03-07 17:00:00+00:00
4cad12,RYR45JL,1772903739,1772910171,LEBL,EBBR,2026-03-07 17:15:39+00:00,2026-03-07 17:00:00+00:00
440018,EJU93YM,1772903644,1772909399,LEBL,EGKK,2026-03-07 17:14:04+00:00,2026-03-07 17:00:00+00:00
4405b6,EJU78GC,1772903586,1772908667,LEBL,LSZM,2026-03-07 17:13:06+00:00,2026-03-07 17:00:00+00:00
34538d,VLG9AZ,1772903432,1772911328,LEBL,EDDB,2026-03-07 17:10:32+00:00,2026-03-07 17:00:00+00:00
344699,VLG8654,1772903326,1772910629,LEBL,LKPR,2026-03-07 17:08:46+00:00,2026-03-07 17:00:00+00:00
48c12f,RYR200W,1772903200,1772910371,LEBL,EIDW,2026-03-07 17:06:40+00:00,2026-03-07 17:00:00+00:00
3444da,VLG77RP,1772903113,1772907487,LEBL,LEZL,2026-03-07 17:05:13+00:00,2026-03-07 17:00:00+00:00
345116,VLG31CD,1772903020,1772904476,LEBL,,2026-03-07 17:03:40+00:00,2026-03-07 17:00:00+00:00
4d221a,RYR3146,1772902290,1772906566,LEBL,,2026-03-07 16:51:30+00:00,2026-03-07 16:00:00+00:00
4080e0,BAW485G,1772902116,1772908129,LEBL,EGLL,2026-03-07 16:48:36+00:00,2026-03-07 16:00:00+00:00
345212,VLG82VL,1772902027,1772905939,LEBL,LFLL,2026-03-07 16:47:07+00:00,2026-03-07 16:00:00+00:00
4692d7,AEE561,1772901914,1772910118,LEBL,LGTS,2026-03-07 16:45:14+00:00,2026-03-07 16:00:00+00:00
344445,EVE7613,1772901724,1772905161,LEBL,LEAM,2026-03-07 16:42:04+00:00,2026-03-07 16:00:00+00:00
34744d,VLG7894,1772901519,1772912737,LEBL,,2026-03-07 16:38:39+00:00,2026-03-07 16:00:00+00:00
345043,VLG8ME,1772901405,1772902933,LEBL,LEPA,2026-03-07 16:36:45+00:00,2026-03-07 16:00:00+00:00
345042,VLG9NH,1772901280,1772910231,LEBL,,2026-03-07 16:34:40+00:00,2026-03-07 16:00:00+00:00
344158,VLG6NM,1772901211,1772909905,LEBL,LGAV,2026-03-07 16:33:31+00:00,2026-03-07 16:00:00+00:00
3c66eb,DLH99Y,1772901103,1772907381,LEBL,EDDF,2026-03-07 16:31:43+00:00,2026-03-07 16:00:00+00:00
34560d,VLG12DB,1772900970,1772906633,LEBL,EGKK,2026-03-07 16:29:30+00:00,2026-03-07 16:00:00+00:00
4ca622,RYR7543,1772900906,1772907654,LEBL,EGCC,2026-03-07 16:28:26+00:00,2026-03-07 16:00:00+00:00
4cae8f,RYR36LR,1772900501,1772906777,LEBL,LMML,2026-03-07 16:21:41+00:00,2026-03-07 16:00:00+00:00
343194,VLG97QX,1772900430,1772904539,LEBL,LEVX,2026-03-07 16:20:30+00:00,2026-03-07 16:00:00+00:00
4d2368,RYR7169,1772900377,1772906969,LEBL,EGSS,2026-03-07 16:19:37+00:00,2026-03-07 16:00:00+00:00
342582,VLG1LH,1772900288,1772904474,LEBL,LEMG,2026-03-07 16:18:08+00:00,2026-03-07 16:00:00+00:00
4cadf6,RYR6CV,1772900166,1772904489,LEBL,LEZL,2026-03-07 16:16:06+00:00,2026-03-07 16:00:00+00:00
4d2092,WMT5EE,1772899650,1772905101,LEBL,LIPZ,2026-03-07 16:07:30+00:00,2026-03-07 16:00:00+00:00
4ca759,ITY079,1772899567,1772904449,LEBL,LIRF,2026-03-07 16:06:07+00:00,2026-03-07 16:00:00+00:00
4ca570,RYR605G,1772899508,1772903939,LEBL,LIMC,2026-03-07 16:05:08+00:00,2026-03-07 16:00:00+00:00
346691,VLG2474,1772899417,1772922997,LEBL,LEBL,2026-03-07 16:03:37+00:00,2026-03-07 16:00:00+00:00
343386,VLG65PB,1772899151,1772900788,LEBL,LEPA,2026-03-07 15:59:11+00:00,2026-03-07 15:00:00+00:00
3424d1,VLG95JZ,1772898573,1772899751,LEBL,,2026-03-07 15:49:33+00:00,2026-03-07 15:00:00+00:00
0101b2,NIA6602,1772898520,1772907522,LEBL,,2026-03-07 15:48:40+00:00,2026-03-07 15:00:00+00:00
346355,VLG1BX,1772898240,1772901437,LEBL,,2026-03-07 15:44:00+00:00,2026-03-07 15:00:00+00:00
4ca566,RYR90MP,1772897649,1772906026,LEBL,LBSF,2026-03-07 15:34:09+00:00,2026-03-07 15:00:00+00:00
5140e4,GEL1703,1772897521,1772913609,LEBL,UGTB,2026-03-07 15:32:01+00:00,2026-03-07 15:00:00+00:00
345249,VLG4FQ,1772897480,1772902312,LEBL,LFPG,2026-03-07 15:31:20+00:00,2026-03-07 15:00:00+00:00
3475d8,VLG5JM,1772897370,1772900413,LEBL,LEAL,2026-03-07 15:29:30+00:00,2026-03-07 15:00:00+00:00
342581,VLG70FR,1772897257,1772899901,LEBL,,2026-03-07 15:27:37+00:00,2026-03-07 15:00:00+00:00
48c138,RYR41WV,1772897198,1772905009,LEBL,LHBP,2026-03-07 15:26:38+00:00,2026-03-07 15:00:00+00:00
4caecb,RYR42MA,1772897100,1772902768,LEBL,EBCI,2026-03-07 15:25:00+00:00,2026-03-07 15:00:00+00:00
345084,VLG3DE,1772897021,1772901409,LEBL,LIAT,2026-03-07 15:23:41+00:00,2026-03-07 15:00:00+00:00
44ce66,BEL74C,1772896923,1772902858,LEBL,EBMB,2026-03-07 15:22:03+00:00,2026-03-07 15:00:00+00:00
4867b0,TRA3T,1772896834,1772902987,LEBL,EHAM,2026-03-07 15:20:34+00:00,2026-03-07 15:00:00+00:00
345102,VLG64LG,1772896780,1772899851,LEBL,LEVD,2026-03-07 15:19:40+00:00,2026-03-07 15:00:00+00:00
